priority,content
High,close flood alt thompson rd hwy between thompson rd both nb sb blackmon rd 
Low,umm here deal huge hurricane aftermath tweet nonsense where fema 
Low,thank all fine here out bank below hatteras get hammered 
Low,here beautiful picture after hurricane 
Low,yo don go outside bruh florence little sister aquafina lay top u heavy flash flooding isn joke just stay inside minute would 
Low,haven home since thursday because someeebody want hurricane 
High,flood take detour where split near south square 
Low,here some challenge face our crew contractor bennettsville sc ground saturated flood heavy bucket truck weigh several ton literally sink into ground 
Medium,stay away garrett road old chapel hill road southern durham flooding 
Low,time cut fall tree go through shop today many model available 
Low,more sunshine less hurricane happy monday 
Low,all go extend free data text message your customer lot u still without power rely our data fir news information 
High,member cajun navy tell me bad flooding south lumberton down hwy toward wilmington where stand water up stoplight some area send me picture yesterday 
Medium,coast guard crew mayfair neighborhood north carolina work around clock rescue homeowner wellness check 
Low,our thought prayer affect hurricane florence should know anyone need housing apartment available immediate move 
Low,my beautiful boot savin life destroy hurricane florence need new tacpants short disaster response team help service connect u navy disable veteran 
Low,don understand how lose more pound sit house during hurricane ask any question 
Low,goodbye hurricane florence hello sunshine trail bethabara 
Low,see some truly amazing love come out others here nc through storm people state all over people nc reach out each other matter how divide our country politically love triumph during disaster 
High,coal ash issue continue crop up carolina after 
Medium,wow devastate amount loss here 
Low,wouldn smart safe hurricane relief check current location 
Low,all contributor collection hurricane victim go heart hand website information immediate need coast thanks all good response hope fill one trailer week 
Low,once again send reporter into hurricane zone damage rental car happen debris fill flood prone area last one receive lifetime hertz decide go law school 
Low,get out shop due hurricane take advantage off online use code shop link bio myperfectwaist 
Low,tonight talk hurricane florence impact local state high school athletics 
Critical,close due flood u nb between corbett hl rd u 
Low,just drop off my donation hurricane florence relief effort course also stop smell er drink hop 
Medium,fact half ft bragg soldier go anywhere due flood tornado touch down nearby more rain come still work tmrw lmao place joke 
Low,hey fellow nc fur mama along many others damage during hurricane need repair continue save animal share legit my cat come thanks 
Low,me smile because sun come back out bc leftover hurricane snack charlotte north carolina 
Low,florence pass u minimum impact our thought lucky still love our mossy driveway charlotte north carolina 
Low,watch day time lapse satellite video show deadly approach arrival eventual departure nc dissipate over eastern part country 
Low,my heart ache shannon lanier invite me into home show me aftermath water up shoulder rescue boat along pound great dame middle night 
Low,help u fee people carolina bu provide u delivery vehicle go through flood water here north carolina 
Low,today work yesterday rather customer come through my line cookie cake our deli associate write choke husband because didn want any hurricane snack keep request say cookie cake 
High,more than road highway interstate close nc due excellent video thanks 
High,close due flood alt coley rd olive branch rd both nb sb between carpenter pond rd hwy 
Low,please don forget story people really suffer still need help 
Medium,thinking wad into carolina floodwaters extremely careful 
Medium,please help retweeting overrun abandoned dog cat need foster supply badly thank 
Low,how little let up constant text overage while hurricane damage area 
High,very important issue hurricane florence power line jacksonville our life jacksonville nc 
Low,my mom live off coast florida fit kid animal into mustang last hurricane include my pound mastiff excuse yes evacuate day after suppose imagine time panic 
Medium,idea amount rain north carolina due florence check data graph lake jordan almost foot water accumulate since sept still rain water still get basin usgs graph 
High,local police still direct traffic because most signal wilmington area without power situation improve quickly though 
Low,safe after still wait power our place mom place power stay now 
Low,great donation opportunity north carolina get hit brutally hurricane florence use your help 
Low,peace find when trust jesus fix our thought him re pray struggle result storm sunday ll share re help recovery effort state north carolina 
Low,hi lumberton nc past five day saw swiftwater rescue saturday tag along yesterday go into hard hit area part north carolina 
Low,carolina my mind thinking nc coast our south carolina neighbor begin clean up rebuild after florence su rez bakery 
Low,get through aftermath hurricane florence use every corner medium center full house 
Low,hurricane aftermath look bright briggs pit 
Low,remember bob thin southern eye wall hurricane complete eye wall recall see satellite 
Low,hurricane florence get u down finally come home after week mighty tree our back yard still stand tall ever only 
Low,tonight my hometown play home nwsl semi final against chicago red star mile away because hurricane lot stand against courage tonight except courage itself fact go courage 
Low,floodplain read like map inequality poverty like flood slow predictable north carolina problem isn poverty 
Low,day our citizen endure hardship hurricane now hear many charge change fee heed our evac order please reconsider deal enough help 
High,flood caution chathamcounty hwy both nb sb between hwy hwy business 
Low,catch hurricane florence relief drive didn chance make donation afternoon still learn 
Low,hey would please u here 
Low,fuck hurricane home college try go work 
Low,cancel our trip weekend due hurricane provide refund our chihuly exhibition ticket 
Low,imagine tweet complain traffic when people flee home might when get back don die hurricane all self absorbed 
Low,my hometown completely out way hurricane my hometown greenville 
Low,pray all u north south carolina go get water supply my wife review weather map 
Low,google hurricane florence when hurricane florence machine come up suggestion 
Low,look out here help manage any medium request wind pick up along east coast 
Low,nobody tell me get prepare hurricane part adulting call texted my mom dad time last day because don know move back too late lol 
Low,just texted dad ask generator incase hurricane cause lose power idea ab hurricane 
Low,charleston send lot love coast stay safe friends charleston south carolina 
Low,your preparation should complete many business home coastal all board up ready battle 
Low,update move toward northwest near mph km general motion accompany gradual decrease forward speed expect through saturday 
Low,hurricane florence my life mess doesn know direction go 
Low,accord some people my class hurricane excite 
Low,real movement update track still show upper sc after day stall coast 
High,hurricane florence forecast potentially devastate southeast beach north carolina 
Low,generosity show head our way heartwarming 
Low,find out today uncw shut down blackboard completely because hurricane my grad school program completely dependent upon system function uncw since when start my bsn program never know freaky 
Low,maria hurricane thing get new set lash new nail 
High,late evacuation shelter coast 
Low,only hurricane prep get house ready party friday night 
Low,hurricane trump already cause extreme butt hurt among looney leave hasn make landfall yet 
Low,monitor weather situation update everyone when decision make weekend event 
Low,swung across street round stock up food bev plenty ice here just fyi hear place run out here plus downloaded target app get me off yey perk 
Low,rain past day 
Low,guess run into local fire station jeanniehwilsonyahoocom pine ridge fire rescue 
Low,first thing pack when cover hurricane taco while kwgn hurricaneflorence raleigh north carolina 
Low,storm app 
Low,gov address medium ahead impact 
Low,carolina weather current local condition pm 
Low,large area organize convective instability intense vertical wind shear large positive vorticity advection other word florence come 
Low,person county ready hurricane florence practicing emergency operation center underway great partner great team 
Medium,base current model our chance see big impact increase here columbia flood strong wind tornado all possible 
Low,prepare stay safe share important reminder checklist family friend 
Low,september even re get fuck hurricane 
Low,due unpredictability hurricane florence our office close tomorrow tuesday pray everyone safety 
Low,my mom just send me liquor store hit tomorrow how north carolina weather storm 
Low,lenoir co cover 
Low,town chapel hill staff continue work hard prepare hurricane florence receive regular update throughout storm sign up enews 
Low,ready battle wish u luck our seal suit courage want thank all military responder know give all shortly 
Low,enjoy chainsaw camp ll ride out hurricane tribute bandit 
Low,north carolina already enough hurricane 
Low,sab take advantage hurricane evacuate ourselves cullowhee 
Low,good south north carolina area wish broadcast columbia sc soon thanks all your hard work along staff big thank bless stay safe my prayer 
Low,pray my little slice paradise vacation carolina year over ei last few year sea maiden west hope make 
High,now time evacuate advises lane reversal end tomorrow 
Medium,live olympia granby highlighted area notorious history flooding cause vehicle damage during heavy rain due proximity stream highly recommend move your vehicle high ground before rain start 
Low,reminder anticipation impact hurricane florence currently close ensure safety our trainer well our member possible remain 
Medium,davidson college hurricane florence update please read bookmark share link twitter thread all future davidson college update relate share 
High,very important information nhc discussion don fool appearance weak hurricane florence 
Low,hurricane also twiztidtrivia host aaaentertainmentnc start pm 
Low,colony tire close friday lieu storm come stay safe prepare 
Low,currently buy restore several home your wilmington north carolina neighborhood purchase home condos land all type real estate any 
Low,hurricane already start dump rain u hasn even hit land yet 
Low,pre hurricane come northbridge park charleston sc 
Low,annual lake keowee real estate beach realty group hurricane party lake keowee 
Low,dyk fema measure storm intensity index waffle house activate storm center hurricane approach 
Low,just leave bridge off close officially before wrightsville beach north carolina 
Low,hurricane come charlotte decided download just prepare bad 
Low,after day storm prep grow sense get 
Low,wilmington nc resident continue preparation expect storm surge flash flooding say sand bag plywood such high demand most local store run out 
Low,already eat my way through my hurricane supply go here least two day 
Low,charleston sc solo walk tour somewhere below broad street 
Low,get cut boys storm brew 
Low,brian hicks up essence hurricane experience via 
Low,today forecast thunderstorm hi lo currently mostly cloudy 
Low,thought prayer go out all our player parent teacher entire shark family hurricane florence approach loyalty respect 
High,water level rise steadily oriental north carolina 
Low,pray everyone affect hurricane florence make through storm 
High,know odd request know al pray all path my friend look help supply see note below someone know help thank 
Low,when storm get my area win hurricane anymore concerned direction wind our neighbor tree my room circled window my main concern amount rain our area may see inch more still bad coast 
Low,agree thank your support advance need north carolinian 
Low,someone legit make twitter account take venmo donation 
Low,update downgrade category 
Low,hurricane weaken some more thanks wind shear tearing convection especially south side wind drop mph now forecast landfall strong cat friday live 
Low,know waffle house activate storm center hurricane florence approach 
Low,just some our team member work hard keep your family safe watch u live update track everyday pm good day charlotte fox news pm 
Low,re good report national news tend towards dramatic all local report show re go get rain wind gust flood much bad than typical winter storm appreciate think u 
Low,shoreline very close coast get hit all 
Low,real medical ship go much later after hurricane one know come how needy get transportation lie lie people still power fema admit personnel inadequate 
Medium,update national hurricane center 
Low,good morning family storm approach pray your safety johnston county north carolina 
Low,just make smile safe folk wrightsville beach north carolina 
Medium,tornado watch issue part eastern north carolina until pm 
Medium,significant change overnight flo lose power down cat mph wind still quite dangerous coast charlotte now probably see only tropical depression day 
Low,generator hurricane supply stock up all our hilton head sc savannah ga store 
Low,due hurricane florence our pope branch close today reopen mon sept need access fund urgently please use our extensive atm network need reach u please call member service stay safe 
Medium,cape fear river downtown wilmington nc cloud move still pretty calm here expect outer band next few hour intensify make landfall here tomorrow into saturday 
Low,when find out your favorite bagel place open during hurricane 
Low,ya bajo categor hurricane florence near southeastern coast u 
Low,city charleston board up old city market preparation 
Low,need bring tua up here nc fight here hurricane florence 
Low,let begin pray now everyone affect hurricane florence 
Low,most generous possible read trump tweet fundamentally misunderstand type death count hurricane relate even fall apart when know many death unreported official total chaos lack comms early 
High,hurricane don relax don get complacent stay guard powerful storm kill power loses expect million family need emergency supply ready need stay alert 
Low,hurricane remind u both necessity strong prepared government government inherent severe limitation course reminder our most needed solution hardly ever partisan stay safe dry 
Low,stupid fuck course didn die hurricane die harsh month follow while strip fema million dollar build ice detention center cage child ignorant son bitch 
Medium,barely hold my phone here condition huge swell very strong wind complete ghost town 
Low,join tomorrow bright early bermuda triangle hurricane theme beat down might want take out some insurance one 
Low,close due weather any change post opening safe 
High,seek refuge find accomodations yet give our visitor center call make sure find safe place actively update our vacancy availability give most current info 
Low,ready nc sure our home myrtle beach though 
Medium,update florez much change think regard impact our area still look significant rainfall tropical storm force wind over weekend 
Low,even though re expect feel brunt here impending hurricane good productivity 
Low,just spoke rep say free data folk path hurricane north carolina effect check your remain data now soon start use free data make note case overage mix up 
Low,trump administration bermuda cuba jamaica all island bad hurricane before never people lose life america put men moon couldn get supply our people puerto rico excuse never would happen under obama 
Low,last minute hurricane preparation me long run because sure win possible next couple day take picture my shoe because sure most insurance adjuster win believe me when tell shake head both 
Medium,track tip safety 
Low,pray everyone stay safe ease through week couldn come bad time hurricane serious danger our low country area prepare 
Low,get mean dog fight hurricane florence 
Low,slap hurricane baby fit many rhode island 
Low,teach u anything power medium 
Medium,arrive wilmington people still move around now wind gusting life threaten yet definitely get bad hour 
Low,rain noon today maintenance rain gauge clean flushed ready measure precipitation 
Low,other llr employee work today prepare hurricane florence 
Low,thanks your prayer my daughter wilmington evacuate yesterday safe pinehurst hopefully storm bad here wind just now pick up little bit 
Low,atlantic beach 
Low,pray topsail beach surf city wilmington area hope everyone safe weekend reunite real soon fix all mess hurricane florence 
Low,come home storm just get crank up look like couple day tropical storm force wind lot rain ll try share some video between rain band 
Low,me all food buy hurricane sunny outside 
Low,remember close hurricane take order over phone store please place your order online pre order process order receive 
Low,live update next few day charlotte all my nc people follow listen safety tip emergency update gotchu 
Low,almost all our big food truck event catered event cancel due hurricane shop full food stop shop dine take out mention post 
Low,dear family friend hurricane florence come make difficult decision close our gate today thursday keep our gate lock vehicular 
Low,chain effect limit appointment today tomorrow due hurricane florence gym open please safe stay dry next few day our thought coastal city right now 
Low,come before teramasu 
Medium,go get effect florence because close than mile prayer best 
Low,await briefing 
Low,get kill shark fly through sky ready marine sit next me talk hurricane 
Low,happy help our essential personnel stay during storm 
Low,may landslide upstate 
Low,unofficial hurricane florence reporter wind rain pick up power flicker couple time now up hunker down await bad 
Low,people my first flight today fly right into hurricane florence pray u 
Low,few short week ago enjoy your beautiful beach outter bank tonight face lead edge hurricane florence our friend va nc sc 
High,storm surge start photo community 
Low,open tomorrow regular schedule restocking once again normal shrimp connection however force cancel weekend load due hurricane florence 
Low,course deal back well than ever come check out tonight save hurricane food weekend 
Medium,send many prayer love all path hurricane florence visit make sure re prepared monster come 
Low,happen after listen demand best pre hurricane food 
Low,nc phrase catch hunker down 
Medium,flash flood watch move inland friday slowly progress across carolina through early next week storm weaken over region heavy rain continue even after wind taper off 
Low,zte charger port repair right fix too forest acre south carolina 
Medium,new bern where patch flooding build move closer bridgepointe hotel marina 
Medium,know some people pee dee still search bottled water florence some 
Low,thank help keep customer path informed 
Medium,update very fortunate far minimal damage 
Medium,eerie dangerous out here still hour away landfall strong wind lot rain least next hour 
Low,hate take online class because even event hurricane school work 
Low,weather balloon launch into hurricane florence wilmington nc 
Low,intermittent rain here triangle 
Low,when hurricane head your direction anymore 
Low,hey face big hurricane ever just want say thank chat me just case something go wrong bed down hrs away until landfall 
Medium,continue batter wilmington nc heavy wind rain flooding remain concern resident here storm surge expect area 
Medium,wind really impact wilmington area now thing just go get bad overnight 
Low,guy just crazy thing happen u while clean our patio bring cushion under our tarp preparation 
Low,dear lord put my trust during hurricane whole world your hand when storm life blow calm rag sea thank our protection cover just god amen 
Low,amaze how niggas use hurricane ask some 
Low,two store open my town when leave office coldstone liquor store guess my hurricane kit 
Low,happen 
Low,most memed hurricane history 
Low,hmmmm use tornado warning during hurricane here go 
Low,hurricane go away need raid don dare knock out my power 
Low,hurricane florence tunnnel entrance into johnston county just hope leave all funnel back home safe family friend johnston county north carolina 
Low,shoutout thacker community service charlotte serve homeless proud guy charlotte north carolina 
Low,when remember hurricane cbs nonstop coverage 
Low,ok understand middle hurricane really cbs please just stop news one hour watch bif brother would great 
High,lightning new convection near northern eye wall 
Low,approach high country nc feel free start monitor my weather station here valle crucis area should give fairly accurate set rain temp wind speed info 
Low,wait hurricane only mention news 
Low,like beach slow down ll depress reach charlotte 
Low,flooding bad coast even pennywise sense enough evacuate home 
Medium,en nbcnews powerful wind hurricane florence lash radio island nc thursday night matt wargo radio island beach 
Low,okay light hurricane florence arrival work right now anyone need ride feel free dm myself 
Low,send love little island holden beach nc just south obx direct line hurricane florence vacation here almost every year since kindergarten stay strong holden 
Low,rough rain gusty wind light lavender candle calm 
High,oh dear hurricane earthquake tsunami explosion rough out prayer everyone 
Low,well power officially out already 
Low,tough night our many friend harkers island nc all affect through eastern usa 
Low,always want cat whom watch hurricane florence come u perhaps should watch agua mala especially since get upwards rain 
Medium,wish would report re pamlico sound too flood too 
Low,wonder piss off reporter live scene during hurricane 
Low,wind force rain inside schoolhouse nothing clean fix later just want all our viking safe tonight 
Low,receive deployment mission incident command post congressman office tomorrow when lull rain tell last year hurricane take out 
Low,hurricane mile wilmington wilmington hour away u smh 
Low,safe stay apartment because my knee replacement both chair bed rise easily me get up usually supply saw current uncw softball coach ht get ready hurricane monday 
Medium,wind gust more than dump lot rain too 
Low,still alive power hour now hurricane currently try rip house down good fam 
Low,tennessee couple open home dozen hurricane evacuee second year row 
Low,re rock rollling morning hurricane next up live report wabc nyc wind really pick up 
Low,guess still road still bring product people hurricane 
Low,honestly didn realize many hurricane truthers out 
Low,property coastal brunswick co nc cover flood adjacent much less populous columbus co county coast just property flood insurance here hand drawn map superimpose over hurricane track 
Low,love when jim cantore break out batter helmet during hurricane coverage one ever able copy own need endorsement deal batter helmet awesome 
Low,power out least u raleigh 
Medium,landfall 
Low,eye hurricane florence just skirt wilmington wind shift just fierce 
Medium,few hurricane before never eye storm eerie feeling 
Low,re currently hour continuous coverage via stay connect even lose power listen our app your car battery power radio 
Low,much precipitation yet wind pick up area stay safe ll check again tomorrow 
Medium,more threaten inland sc 
Low,see storm damage yet share your u comment below please note only take photo video safe 
Low,aye check how all feel hurricane bad buy all shh store 
Low,home depot rock hill generator now shipment 
Low,hi thanks thinking me far enough west most impact affect u tmrw sunday mainly light wind overcast right now expect sustain wind mph when turn north into western nc ground saturate wks down tree expect 
Critical,pm edt ssw cape carteret carteret co nc emergency mngr report hurricane down power line 
Low,swoon close today pray all path hurricane keep update weekend still open online all proceeds go hurricane 
Low,grave danger eat all my hurricane snack already 
Low,take advantage wind fam 
Low,safe still lot tornado warning journey cc ec collect leave over hurricane supply deliver our church south here serve others peace 
Low,our team get into thing our prep 
High,now under due continue coverage long able safely 
Low,apparently also miss first sure why auto option me misspell think spell hurricane few time before 
Low,great time interview my new friend maysie age hunker down here wilmington me hurricane drag little bit scar right now maysie tell me my ipad watch more here 
Low,ready go moment notice thank lejeune fire keep u safe 
Low,open today need charge your phone use our wifi fill your water container here safety our staff patron high priority need close stay tune updates please safe out 
Low,hit early close home already tree down block road near entrance my neighborhood cause power flicker 
Low,direct some pre hurricane soccer 
High,shelter open still available take folk nc 
Low,hope first pas keep our community member safe although see some damage hop life spar please keep people surround city your thought stay safe 
High,look wilmington area storm large wide slow stay safe 
Medium,here another view downtown wilmington 
Low,really dodge bullet bad problem really mound sand like park lot side street minimal flooding wave around foot 
Low,here lot rain very very strong wind power out got ta frugal my battery ok far ready go 
Low,get through hurricane shurr 
High,update official ch get inch rain far crew respond report downed tree power line wind orange co report ppl emergency shelter 
Medium,relay everyone need see evacuee shelter time when north carolinian shine help neighbor need item most need baby product especially diaper formula 
Low,first confirm death hurricane florence pray family 
Low,yes power beer even inside sidewalk hurricane sale 
High,center pretty much right over kltx radar 
Low,send our thought prayer everyone affect 
Low,curious why people hurricane more concerned record storm than get safety 
Low,tournament weekend all family currently go effect hurricane florence stay safe 
Low,live line ready serve protect hurricane 
Low,sit rep far merciful central nc though east coast continue take beat cloud move fast tree hang 
Medium,far safe picture my old town haven fair well against storm 
Low,hurricane update rid out storm dog major unfortunate gas 
Low,current situation just beginning 
Low,complete hurricane hair 
Low,know image coast get air time suffer flood week still recover 
Low,go over hurricane emergency procedure today involve get my knee infront glass wall my own plan consist strap kayak bike rack tomorrow 
Low,don like shaming people didn evacuate hurricane people sick family member people afford leave yet some feel need judge because re privilege enough 
Low,great smoky mountain national park announces closure hurricane florence well historical say least 
Low,trump wouldn count official death hurricane because hurricane didn directly kill tree sad 
Low,shout out listen all day enjoy show while sit here hurricane go brown 
Low,amaze visual storm surge really put flooding perspective 
Low,please read share all safety tip post our website 
Low,just saw video jacksonville nc people rescue some dog kitten because people decide abandon during hurricane people like scum 
Low,hatteras island prepare hurricane florence out bank documentary photographer 
Low,remember trump call mayor cruz liar say maria horrific disaster puerto rico trump think few paper towel soak up flooding everything would all right then call people lazy expect help u puerto rico u 
Low,wv now live nc pretty sure nc state flat out cancel game due hurricane florence decimate entire state inland coastline know how long take cleanup anything grier go off guess 
Low,ride storm out make u flo ridas 
Medium,today extend forecast 
Low,ll raise one hurricane uptown charlie 
Low,hurricane florence stir up some angular perspective time lapse sunset 
Low,deliver boat your house courtesy 
Medium,hate hurricane esp wilmington wrightsville already under water still more high tide go through more day full rain heartbreaking 
Low,hurricane prep seriously prep pretty extensive past couple day relax family wine avocado wait storm baxter fort mill south 
Low,long power during hurricane make my way through lp alphabetical order work endeavor while ample time today listen album far currently listen fourth wanderer 
Low,even hurricane ll find dog 
Medium,earlier afternoon national guard volunteer work together fill sandbag block levee open underneath area behind west baptist church flood when hit 
Low,hopefully next time major hurricane new batch student ecu memory florence 
Low,although mile inland hurricane some scary shit 
Low,thank my hurricane entertainment today 
Low,try survive hurricane few second after video tree fell snap power line almost get electrocute out power now 
Critical,my prayer everyone path hurricane florence all please stay safe 
Low,now house fire kill two lake club drive fire official say strong wind prevent enter home quickly cause fire unknown 
Low,capture haunt look someone through hurricane phenomenal capture same look survivor eye too astound wonderful work thank 
Low,peace family lose love one today loss life devastate 
Low,only flood here hour away get hit hard my prayer go out 
Low,tks win hurricane nc 
Low,more risky than rid out hurricane florence don know maybe share evacuation roads hundred thousand people haven even master fair weather driving 
Low,head home rain breezy gastonia gaston county north carolina 
Low,let forget four legged companion need love too during hurricane florence 
Low,evacuate cost money some wealthy folk choose use evacuation time extra vacation leave danger area early stay go until all clear good 
High,high wind flooding happen here kinston nc 
Low,way too much fun assess damage cnn raeford north carolina 
Low,like charlotte nc only get moderate many life lose near coast still sit cause major flooding power outage 
Low,get underway rain start lenoir worry lose power official wjri flashlight tune 
Low,due inclement weather hurricane florence all our attended donation center close today 
Low,morning time lapse light rain wind 
Low,well dang struggle real hurricane send out peace love all go through right now hang tight work my blog come sooooon try 
Low,update nothing fuck nothing wind rain nothing currently happen 
Critical,major storm damage around wilmington nc after florence make landfall while storm wind pass torrential rain stick around 
Low,million people nc sc continue impact hurricane florence project momentum partner two local organization offer our support resource 
Low,dedman survive hurricane time get back work open slot call hour horror podcast available all day genre want 
Low,picture take start hurricane yesterday until now boil spring lake north carolina 
Low,when hurricane come news tell evacuate leave 
Medium,get lot call people want help want contribute go text florence 
Low,why haven come up way build good gas station covering every hurricane see image collapse 
Low,pray my fayetteville family well flooding real 
Medium,just leave emergency op center kinston head new bern morehead emergency team top situation very well coordinated proud team all over country lot work team continue send out rescue recovery 
Low,safe carolina friend camnorthphotography hurricane florence batter our beautiful send thought prayer our friend loved one 
Low,galatea boutique open today come grab treat our neighbor night kitchen take vantage our hurricane sale off johnny xcvi also except supply 
High,aberdeen still without power 
Critical,flood occur multiple part county engelhard bad yet hwy beaufort county line rosebay still impassable report flood level rise tyrrell county hwy area dare county also flood 
Low,back home after work during hurricane flo glad safe sound 
Low,few thing remember during your headlight must when operate windshield wiper nc law safely remove blockage storm drain debris roadway 
Low,flood windy 
Low,hurricane florence nursing home lose power hour help arrive photo 
Low,rescue re anxiously wait just outside charlotte right now some hard hit area thus far new bern wilmington cajun navy national guard rescue over still 
Medium,hurricane remind me time hurricane campus last year 
Low,call shake 
Low,disappoint welcome fan today rightfully focusing prayer support impact many men woman work help need 
Low,take back hurricane florence take my power don watch fsu look bad physically hurt 
Low,enjoy my safety my home 
Low,make possible use 
Medium,hurricane florence update another inch top already jane morrisville north carolina 
Low,our thought all our friend neighbor carolina need evacuate inn availability stay safe wish all best reservation 
Low,aftermath my house bad thankful most damage my yard 
Low,update stream all day tomorrow stay home safe hurricane house party get your neighbor come over church watch online 
Medium,over shelter both carolina open cost per both governor 
Low,gas station actually gas cause much damage pump break 
High,new all south carolina coastal evacuation end sunday morning 
Medium,my family know some need extra food water also help clean up please message me organize material clean up event people our community 
Low,thinking praying north carolina other area get hit harder also lose storm 
Low,people kill because use generator inside home during hurricane florence don go inside your home 
Low,how survive hurricane beaufort north carolina 
Medium,gusty tropical rain band continue impact rowan county until pm edt pm edt doppler radar track line tropical rain shower across eastern piedmont carolina move south west mph 
Low,proceeds go cajun navy help folk area affect hurricane florence folk genuinely risk life people don 
Low,re still expect make up whatever class even though leave our family because hurricane give u day come back after all rethink 
Medium,less fortunate people here all donation tax deductible religious community service new bern need help overrun east raleigh come get 
Medium,alert just go off my phone cover here 
Medium,pray jacksonville nc 
Low,please advise due hurricane service tomorrow morning our pm service postpone later date thank safe 
Low,happy report all animal survive hurricane even good new mama hedgehog baby well 
Low,show up work after go week cause hurricane 
Low,just hang out during storm 
Low,one blame anyone hurricane just how poorly teump handle literally tell american citizen then go throw paper towel trump slow response food water electricity lead high death toll 
Critical,stay off road massive flooding emergency water rescue all over city county multiple tornado touch down city county generator explode alll over stay safe keep pray everyone save life tonight 
Low,oh now life threaten hurricane come towards me my ex wan na text me hehehe up girl 
Low,hurricane florence day video take thursday before storm make land evacuate emerald isle make safely neighbor town swansboro wind 
Medium,flood hurricane florence begin 
Low,part north carolina see unprecedented amount rainfall cause extremely dangerous situation please continue listen emergency official take 
Medium,flooding report come too fast keep track get repetitive please forgive me pretty darn bad south fay 
Low,hurricane florence update more west little north raleigh same county wake power satellite tv internet 
Low,also live eastern nc experience my share hurricane steal right take someone property just because think need more than 
Low,previous owner our house lot mitigate storm water runoff move through back yard storm drain difference between yesterday today 
Low,due hurricane florence state road our sunday worship experience cancel our prayer your family 
Low,summer music mix keep smile my face during hurricane florence charlotte north carolina 
Low,stay safe charlotte family due remnant hang close today open monday morning stop see u then please 
High,road damage goldsboro nc due 
Low,get into place where hard get north carolina day help out victim your support mission need volunteer my time 
Low,witness crowd mistook gunshot firework shoot kill wound near taft dallas 
Low,dallas nightclub security guard involve fatal shooting 
Low,would also like point out all recent mass shooting america happen gun free zone 
Low,just hear rumour shoot dallas apparently kennedy shoot 
Low,shooting weekend chicago place some strict gun law country wonder how many dallas 
Low,hurt fourth july shoot houston nbc dallas fort worth via 
Low,police release photo suspect vehicle fatal shooting year old near dallas skyline high dallas 
Low,just fbi comey say reasonable prosecutor would bring case against oswald dallas shoot 
Low,statistic within past year don see bogut number shoot upward dallas 
Low,dallas tribute 
Low,miami donwtown shoot new video 
Low,apparently league think know lebron curry shoot beat san antonio dallas 
Low,all shoot wear me out man just wish more interaction borderland 
Low,consider dallas only shoot field pretty remarkable wing only down five 
Low,wing still shoot floor phoenix yet somehow tie game dallas offensive rebound big ingredient 
Low,now up amp left game dallas percent shooting somehow up four 
Low,horrify need see justification shoot man lot when already apprehend 
Low,southeast division respond shoot blk jim miller rd beat 
Low,abdullah muflahi owner store where alton sterling kill br describes see shooting officer 
Low,don think understand much list all first just shoot mouth off ignorance 
Low,trump didn understand fly list then should educate himself before shoot off mouth 
Low,inbox baton rouge congressman call justice dept investigation shoot 
Low,officer involve shoot tonight dallas hope everyone involve okay especially our officer 
Low,louisiana fatal police shoot spark outrage protest nbc dallas fort worth via 
Low,dallas shoot music video need extra granada late than see th 
Low,dear police use your common sense get tasers please stop shoot unnecessarily use your tasers people get 
Low,report both officer body camera fell off during struggle deadly police shoot 
Low,nice reminder maybe rubio start shoot reliably like kidd dallas 
Low,couple punch shoot wasn necessary 
Low,wxia alive paulding county shoot victim describe loving husband father 
Low,night time adventure bug shoot star 
Low,dallas company work client prevent school shooting some good news comfort parent across u 
Low,dallas company work client prevent school shooting 
Low,look happy shooting dallas airport htt 
Low,dallas company help tactical institute prevent school shooting across u use 
Low,protest shooting dallas news say something happen police all over outside 
Low,twilight shoot dallas dallas downtown texas usa 
Low,dozen protester gather downtown dallas over baton rouge police shoot death alton sterling 
Low,laker fan gon na love calderon shooting how take care ball mad when leave dallas 
Low,first shooting now witness fall america 
Low,another day another man shot police get ta get outta here bruh 
Low,baby say okay right here mama shouldn reality 
Low,year old daughter watch him shot death get stop ht 
Low,fuck upset me god fuck damnit im sick af 
Low,only time recall officer render aid after shoot someone white guy dallas few year ago go up folk car 
Low,pd scene work shoot one man shot during robbery attempt transport serious condition 
Low,live 
Low,now sit here wonder new truck my brother drive dallas too nice genuinely scar my family shoot 
Low,facebook blame technical glitch temporary removal falcon height shoot video via 
Low,don bring shoot black people dallas shit dead 
Low,develop dallas police investigate report shoot pleasant grove area work get more info 
Low,editorial why all should care each officer involve shooting dallas morning news 
Low,baton rouge police shoot spark dallas protest 
Low,donate million dallas police response mass shooting 
Low,likely hood mass shooting would stay same because already less than chance happen 
Low,day where nba become pt shoot competition bull new start backcourt hit all la 
Low,another point would like point mass shooting france deadly mass shooting past few year 
Low,stay dallas tx get together tonight talk shooting downtown 
Low,karim shoot dallas may till june contact u 
Low,dallas news fatal shooting minnesota officer investigate after aftermath caught video 
Low,another police shoot victim phillando castille more mready call action support here dallas 
Low,ashton charles score shoot dallas mustang pick up easy win opener gauntlet finale 
Low,another cop shoot cop even fuck train correctly go country someone tell 
Low,sap order fulfillment manager perm lexington ky req order invoice process troubleshoot sap system recruit 
Low,wear hoodie fail use turn signal selling cd broken tail light all dead http 
